Date,Time,Open,High,Low,Close,Volume
2025-04-21,01:10:00,1.14389,1.14417,1.14389,1.14399,81
2025-04-21,01:11:00,1.144,1.14402,1.14368,1.14386,111
2025-04-21,01:12:00,1.14391,1.14392,1.14376,1.1438,30
2025-04-21,01:13:00,1.14378,1.14384,1.14361,1.14366,80
2025-04-21,01:14:00,1.14367,1.14407,1.14365,1.14393,72
2025-04-21,01:15:00,1.14392,1.144,1.14384,1.14396,62
2025-04-21,01:16:00,1.14397,1.14441,1.14393,1.14418,103
2025-04-21,01:17:00,1.14417,1.14427,1.14406,1.14416,77
2025-04-21,01:18:00,1.14417,1.14425,1.14409,1.14417,58
2025-04-21,01:19:00,1.14416,1.14425,1.14412,1.14419,40
2025-04-21,01:20:00,1.14418,1.14427,1.14408,1.14408,51
2025-04-21,01:21:00,1.14407,1.14428,1.14392,1.1442,67
2025-04-21,01:22:00,1.14419,1.14433,1.14415,1.14423,60
2025-04-21,01:23:00,1.14422,1.14423,1.14401,1.14407,37
2025-04-21,01:24:00,1.14401,1.14427,1.144,1.14425,72
2025-04-21,01:25:00,1.14427,1.14427,1.14388,1.14397,90
2025-04-21,01:26:00,1.14398,1.14399,1.1436,1.1437,57
2025-04-21,01:27:00,1.14369,1.14393,1.14361,1.14393,45
2025-04-21,01:28:00,1.14394,1.14432,1.14394,1.14431,60
2025-04-21,01:29:00,1.1443,1.14431,1.144,1.14408,78
2025-04-21,01:30:00,1.14413,1.14432,1.14407,1.14407,76
2025-04-21,01:31:00,1.14408,1.14424,1.14407,1.14424,37
2025-04-21,01:32:00,1.14425,1.1447,1.14415,1.1442,86
2025-04-21,01:33:00,1.14417,1.14475,1.14417,1.1445,119
2025-04-21,01:34:00,1.14451,1.14479,1.14444,1.14477,101
2025-04-21,01:35:00,1.14476,1.14488,1.14472,1.14478,47
2025-04-21,01:36:00,1.1448,1.14501,1.14475,1.14492,64
2025-04-21,01:37:00,1.14493,1.14503,1.14484,1.145,85
2025-04-21,01:38:00,1.14493,1.145,1.1449,1.14496,35
2025-04-21,01:39:00,1.14494,1.14499,1.14485,1.14489,22
2025-04-21,01:40:00,1.14488,1.14507,1.14488,1.14504,43
2025-04-21,01:41:00,1.14501,1.14502,1.14476,1.14487,54
2025-04-21,01:42:00,1.14488,1.14504,1.14485,1.14501,34
2025-04-21,01:43:00,1.14497,1.145,1.14475,1.14482,49
2025-04-21,01:44:00,1.14483,1.14492,1.14481,1.14486,34
2025-04-21,01:45:00,1.14487,1.14504,1.14475,1.14477,57
2025-04-21,01:46:00,1.14473,1.14498,1.14467,1.14477,49
2025-04-21,01:47:00,1.14472,1.14492,1.14456,1.14492,42
2025-04-21,01:48:00,1.14497,1.14545,1.14482,1.14538,81
2025-04-21,01:49:00,1.1454,1.14551,1.14535,1.1454,55
2025-04-21,01:50:00,1.14548,1.14591,1.14545,1.14565,62
2025-04-21,01:51:00,1.14564,1.1458,1.14547,1.14576,46
2025-04-21,01:52:00,1.14577,1.14582,1.14563,1.14576,63
2025-04-21,01:53:00,1.14573,1.14574,1.14545,1.14545,33
2025-04-21,01:54:00,1.14544,1.14544,1.14506,1.14518,71
2025-04-21,01:55:00,1.14519,1.14522,1.14478,1.14484,82
2025-04-21,01:56:00,1.14489,1.14521,1.14489,1.14515,46
2025-04-21,01:57:00,1.1451,1.14513,1.14492,1.14497,45
2025-04-21,01:58:00,1.14486,1.14501,1.14468,1.14469,40
2025-04-21,01:59:00,1.1447,1.14527,1.14465,1.14496,67
2025-04-21,02:00:00,1.145,1.14558,1.14497,1.14544,136
2025-04-21,02:01:00,1.14545,1.14596,1.14545,1.14586,116
2025-04-21,02:02:00,1.14589,1.1459,1.14558,1.1457,106
2025-04-21,02:03:00,1.14566,1.14584,1.14566,1.14577,79
2025-04-21,02:04:00,1.14578,1.14594,1.14563,1.14593,76
2025-04-21,02:05:00,1.14595,1.146,1.14569,1.14577,80
2025-04-21,02:06:00,1.14568,1.14641,1.14557,1.14641,97
2025-04-21,02:07:00,1.1464,1.14666,1.14638,1.14661,104
2025-04-21,02:08:00,1.14658,1.14702,1.1465,1.14695,126
2025-04-21,02:09:00,1.14696,1.14703,1.14684,1.14692,114
2025-04-21,02:10:00,1.14694,1.14749,1.1469,1.14743,111
2025-04-21,02:11:00,1.14745,1.14766,1.14734,1.14745,128
2025-04-21,02:12:00,1.14744,1.14768,1.14708,1.14713,101
2025-04-21,02:13:00,1.14712,1.14754,1.14672,1.14737,177
2025-04-21,02:14:00,1.14738,1.14738,1.14679,1.14705,109
2025-04-21,02:15:00,1.14704,1.14711,1.14673,1.14694,134
2025-04-21,02:16:00,1.14695,1.14745,1.14679,1.14716,133
2025-04-21,02:17:00,1.14724,1.14736,1.14693,1.14693,94
2025-04-21,02:18:00,1.14694,1.14716,1.14687,1.14705,58
2025-04-21,02:19:00,1.14718,1.14768,1.14708,1.14752,106
2025-04-21,02:20:00,1.14753,1.14755,1.14713,1.14728,120
2025-04-21,02:21:00,1.14726,1.14734,1.14698,1.14709,137
2025-04-21,02:22:00,1.14708,1.14719,1.14694,1.14706,85
2025-04-21,02:23:00,1.14707,1.14719,1.14657,1.14668,115
2025-04-21,02:24:00,1.14666,1.1468,1.14656,1.14678,106
2025-04-21,02:25:00,1.14686,1.14711,1.14682,1.14698,82
2025-04-21,02:26:00,1.14692,1.14713,1.14673,1.14704,73
2025-04-21,02:27:00,1.14701,1.14729,1.14701,1.14718,51
2025-04-21,02:28:00,1.14727,1.1476,1.14695,1.14759,74
2025-04-21,02:29:00,1.14756,1.14767,1.14728,1.14732,75
2025-04-21,02:30:00,1.14731,1.14765,1.14725,1.14759,105
2025-04-21,02:31:00,1.14765,1.14793,1.14747,1.14769,171
2025-04-21,02:32:00,1.1477,1.14774,1.14744,1.14744,60
2025-04-21,02:33:00,1.14741,1.14789,1.14741,1.14789,58
2025-04-21,02:34:00,1.14788,1.14834,1.1478,1.14798,131
2025-04-21,02:35:00,1.14796,1.1487,1.14791,1.14868,81
2025-04-21,02:36:00,1.14866,1.14866,1.14815,1.14816,75
2025-04-21,02:37:00,1.14815,1.14815,1.14757,1.14771,105
2025-04-21,02:38:00,1.14769,1.1478,1.14764,1.14769,72
2025-04-21,02:39:00,1.14767,1.14768,1.1472,1.1473,96
2025-04-21,02:40:00,1.14728,1.14737,1.14719,1.14736,67
2025-04-21,02:41:00,1.14737,1.14749,1.14733,1.14742,48
2025-04-21,02:42:00,1.14747,1.14747,1.14724,1.1474,39
2025-04-21,02:43:00,1.14735,1.14736,1.14688,1.14688,86
2025-04-21,02:44:00,1.14692,1.14695,1.14624,1.14626,104
2025-04-21,02:45:00,1.14624,1.14658,1.14624,1.14636,83
2025-04-21,02:46:00,1.14625,1.14645,1.146,1.14601,99
2025-04-21,02:47:00,1.146,1.14612,1.14583,1.14593,108
2025-04-21,02:48:00,1.14592,1.14647,1.14592,1.14627,78
2025-04-21,02:49:00,1.14642,1.14646,1.14626,1.14637,65
2025-04-21,02:50:00,1.14638,1.1467,1.14634,1.14668,78
2025-04-21,02:51:00,1.14667,1.14674,1.14647,1.14659,58
2025-04-21,02:52:00,1.1466,1.14669,1.14644,1.14658,43
2025-04-21,02:53:00,1.14672,1.14675,1.14654,1.14657,46
2025-04-21,02:54:00,1.14656,1.14684,1.14637,1.1468,71
2025-04-21,02:55:00,1.14682,1.14687,1.14658,1.14674,71
2025-04-21,02:56:00,1.14677,1.14693,1.14658,1.14665,49
2025-04-21,02:57:00,1.14664,1.14665,1.14634,1.14647,67
2025-04-21,02:58:00,1.14648,1.14672,1.14648,1.1466,57
2025-04-21,02:59:00,1.14659,1.14671,1.14646,1.14668,52
2025-04-21,03:00:00,1.14673,1.1474,1.14673,1.1474,91
2025-04-21,03:01:00,1.14739,1.14739,1.14716,1.14734,54
2025-04-21,03:02:00,1.1474,1.14743,1.14693,1.14706,49
